인증구분,건물주용도,건물용도,에너지자립률,지역,건축물명,업체명,제로에너지건축물 인증등급(ZEB),인증일자
본인증,제1종 근린생활시설,주거용 이외,45.57,대전,전민복합문화센터,유성구청,4, 2023-12-29
예비인증,교육연구시설,주거용 이외,36.09,충북,세포주 특성분석 지원센터,오송첨단의료산업진흥재단,5, 2023-12-29
예비인증,교육연구시설,주거용 이외,32.80,경기,(가칭)세교2-5초등학교 신축공사,경기도화성오산교육지원청,5, 2023-12-29
예비인증,제1종 근린생활시설,주거용 이외,34.78,울산,언양건강돌봄문화센터,울주군청,5, 2023-12-29
예비인증,교정 및 군사 시설,주거용 이외,44.42,대구,(D026)1여단 방포고 간부교육생 숙소 신축공사,국방시설본부,4, 2023-12-29
본인증,공동주택,주거용,36.56,경기,화성동탄 로렌하우스(제로에너지 임대리츠2호),(주)제로에너지임대리츠2호위탁관리부동산투자회사,5, 2023-12-29
예비인증,공동주택,주거용,20.00,서울,서울 방학역 도심 공공주택,한국토지주택공사,5, 2023-12-29
본인증,교육연구시설,주거용 이외,33.76,부산,온샘초등학교,부산광역시교육청,5, 2023-12-29
예비인증,업무시설,주거용 이외,60.42,전북,전주 제1산단 복합문화센터,전주시청,3, 2023-12-29
본인증,의료시설,주거용 이외,60.80,대전,대전보훈병원 재활센터 및 국가지정입원치료동,한국보훈복지의료공단,3, 2023-12-29
본인증,교육연구시설,주거용 이외,51.12,경기,성남중앙초 체육관 및 급식실,성남교육지원청,4, 2023-12-29
예비인증,교정 및 군사 시설,주거용 이외,22.70,경기,(B533)2기갑여단 16전차대대 실내체육관,국방시설본부,5, 2023-12-28
예비인증,교정 및 군사 시설,주거용 이외,22.71,대전,(B533)1115공병단본부 실내체육관,국방시설본부,5, 2023-12-28
예비인증,문화 및 집회시설,주거용 이외,47.08,강원,홍천군 목재문화체험장,홍천군청,4, 2023-12-28
예비인증,운동시설,주거용 이외,33.91,전북,쉴랜드 특화 건강진흥형 종합체육관,순창군청,5, 2023-12-28
